timestamp,symbol,bid_price_1,ask_price_1,bid_size_1,ask_size_1,bid_price_2,ask_price_2,bid_size_2,ask_size_2,bid_price_3,ask_price_3,bid_size_3,ask_size_3,bid_price_4,ask_price_4,bid_size_4,ask_size_4,bid_price_5,ask_price_5,bid_size_5,ask_size_5,bid_price_6,ask_price_6,bid_size_6,ask_size_6,bid_price_7,ask_price_7,bid_size_7,ask_size_7,bid_price_8,ask_price_8,bid_size_8,ask_size_8,bid_price_9,ask_price_9,bid_size_9,ask_size_9,bid_price_10,ask_price_10,bid_size_10,ask_size_10
1717680600,AAPL,195.91,195.93,199781,244556,195.9,195.94,229749,281240,195.89,195.95,389207,476435,195.88,195.96,334139,409026,195.87,195.97,428005,523929,195.86,195.98,493234,603777,195.85,195.99,545952,668310,195.84,196.0,511557,626207,195.83,196.01,609915,746609,195.82,196.02,583319,714052
1717684200,AAPL,195.83,195.85,51091,122314,195.82,195.86,88606,212129,195.81,195.87,110413,264336,195.8,195.88,131156,313995,195.79,195.89,128073,306615,195.78,195.9,119128,285200,195.77,195.91,148453,355407,195.76,195.92,174348,417399,195.75,195.93,150196,359579,195.74,195.94,194080,464639
1717687800,AAPL,195.66,195.68,61582,94183,195.65,195.69,59402,90849,195.64,195.7,117929,180360,195.63,195.71,97889,149711,195.62,195.72,113812,174064,195.61,195.73,138655,212059,195.6,195.74,147494,225576,195.59,195.75,190069,290691,195.58,195.76,177798,271923,195.57,195.77,169433,259131
1717691400,AAPL,195.64,195.66,110911,48095,195.63,195.67,137175,59484,195.62,195.68,210960,91479,195.61,195.69,174970,75873,195.6,195.7,230976,100159,195.59,195.71,291286,126311,195.58,195.72,294197,127574,195.57,195.73,292977,127045,195.56,195.74,339881,147384,195.55,195.75,274862,119189
1717695000,AAPL,195.53,195.55,31570,98517,195.52,195.56,66255,206756,195.51,195.57,79545,248230,195.5,195.58,74863,233620,195.49,195.59,106665,332861,195.48,195.6,110354,344374,195.47,195.61,96322,300586,195.46,195.62,135388,422494,195.45,195.63,116335,363038,195.44,195.64,149429,466313
1717698600,AAPL,195.38,195.4,36571,92296,195.37,195.41,61433,155042,195.36,195.42,81438,205529,195.35,195.43,87875,221775,195.34,195.44,111432,281227,195.33,195.45,82592,208441,195.32,195.46,100081,252579,195.31,195.47,145823,368020,195.3,195.48,130047,328205,195.29,195.49,145852,368094
1717702200,AAPL,194.47,194.49,206591,62787,194.46,194.5,270522,82216,194.45,194.51,343741,104469,194.44,194.52,437255,132890,194.43,194.53,494482,150282,194.42,194.54,549137,166893,194.41,194.55,512664,155808,194.4,194.56,534987,162592,194.39,194.57,458891,139465,194.38,194.58,499690,151865
1717767000,AAPL,194.8,194.82,253847,180932,194.79,194.83,412978,294355,194.78,194.84,454752,324130,194.77,194.85,603248,429972,194.76,194.86,469936,334952,194.75,194.87,787653,561409,194.74,194.88,753084,536770,194.73,194.89,770924,549486,194.72,194.9,706371,503474,194.71,194.91,765944,545936
1717770600,AAPL,195.61,195.63,81916,205932,195.6,195.64,129659,325955,195.59,195.65,136405,342917,195.58,195.66,184748,464448,195.57,195.67,154115,387439,195.56,195.68,268541,675098,195.55,195.69,194600,489216,195.54,195.7,220322,553879,195.53,195.71,254238,639141,195.52,195.72,283163,711857
1717774200,AAPL,195.95,195.97,115822,178770,195.94,195.98,211162,325927,195.93,195.99,240148,370665,195.92,196.0,258084,398350,195.91,196.01,294273,454208,195.9,196.02,334076,515643,195.89,196.03,332147,512666,195.88,196.04,300042,463112,195.87,196.05,431473,665973,195.86,196.06,331459,511603
