timestamp,symbol,bid_price_1,ask_price_1,bid_size_1,ask_size_1,bid_price_2,ask_price_2,bid_size_2,ask_size_2,bid_price_3,ask_price_3,bid_size_3,ask_size_3,bid_price_4,ask_price_4,bid_size_4,ask_size_4,bid_price_5,ask_price_5,bid_size_5,ask_size_5,bid_price_6,ask_price_6,bid_size_6,ask_size_6,bid_price_7,ask_price_7,bid_size_7,ask_size_7,bid_price_8,ask_price_8,bid_size_8,ask_size_8,bid_price_9,ask_price_9,bid_size_9,ask_size_9,bid_price_10,ask_price_10,bid_size_10,ask_size_10
2024-01-01 09:30:00.000,SYNTH,149.9792,150.0066,83,53,149.9703,150.0124,231,191,149.9616,150.0209,1334,336,149.9508,150.0256,590,1719,149.9464,150.0386,1824,2358,149.936,150.0507,510,1732,149.919,150.0634,1934,965,149.9112,150.0694,1291,2832,149.9031,150.0796,3656,2768,149.8905,150.0943,3472,2208
2024-01-01 09:30:00.100,SYNTH,150.0151,150.0396,199,115,150.0076,150.0463,813,458,150.0011,150.0618,633,735,149.9909,150.0678,327,1666,149.972,150.077,1541,1015,149.9729,150.0886,2491,1196,149.956,150.0956,1963,2842,149.9461,150.1075,3588,1207,149.9398,150.1213,684,2572,149.9227,150.1273,1888,4280
2024-01-01 09:30:00.200,SYNTH,150.0477,150.0594,133,212,150.0356,150.0749,342,500,150.0246,150.0806,477,1012,150.0172,150.0887,1013,995,150.0036,150.101,767,1668,149.994,150.1129,1738,785,149.9748,150.1252,1896,3346,149.9735,150.1358,2333,3247,149.9643,150.1487,3728,3581,149.9563,150.1609,1069,1642
2024-01-01 09:30:00.300,SYNTH,150.0498,150.0779,213,385,150.0384,150.0827,488,854,150.0249,150.0951,1387,244,150.0219,150.0982,461,1638,150.0088,150.1092,336,2010,150.0035,150.116,942,2636,149.9871,150.1306,784,2772,149.9798,150.1389,3526,3907,149.9687,150.1518,4486,2343,149.9616,150.1588,3739,4132
2024-01-01 09:30:00.400,SYNTH,150.0713,150.0905,123,125,150.0586,150.1015,210,666,150.0484,150.1079,934,263,150.0353,150.1224,1769,569,150.0262,150.1257,633,2077,150.0233,150.1381,735,2977,150.0047,150.1518,389,389,150.0054,150.1587,3811,807,149.9905,150.168,2464,2225,149.9842,150.1784,2669,4056
2024-01-01 09:30:00.500,SYNTH,150.0657,150.0837,251,329,150.0548,150.0967,785,513,150.0409,150.1065,584,1206,150.0374,150.1105,429,1141,150.0284,150.1262,1229,871,150.0128,150.1303,644,1482,150.0055,150.1481,2581,1105,149.9949,150.1526,824,2003,149.9837,150.161,509,948,149.9776,150.1768,2123,912
2024-01-01 09:30:00.600,SYNTH,150.0714,150.0956,139,295,150.0647,150.0977,568,629,150.05,150.1132,883,1245,150.0413,150.1218,1139,1164,150.0353,150.1313,924,253,150.0183,150.1398,2208,997,150.0126,150.1478,1667,2453,150.0014,150.1597,3457,757,149.9927,150.1707,1275,731,149.9791,150.1795,3835,2379
2024-01-01 09:30:00.700,SYNTH,150.0692,150.097,179,376,150.0694,150.1063,751,735,150.0573,150.1141,327,291,150.0452,150.1272,342,303,150.0364,150.1434,1728,412,150.0268,150.1451,1716,1304,150.0142,150.1538,3048,2981,150.0064,150.1675,690,3742,149.9948,150.1779,3635,749,149.9839,150.1947,3028,4804
2024-01-01 09:30:00.800,SYNTH,150.1099,150.1236,250,130,150.0938,150.138,325,595,150.0833,150.1453,1132,524,150.0761,150.1525,1516,814,150.0653,150.1648,2409,1224,150.052,150.1788,1793,1431,150.0437,150.1882,1718,3266,150.0365,150.1929,3022,2146,150.0293,150.2056,3705,2537,150.0189,150.2145,4424,4781
2024-01-01 09:30:00.900,SYNTH,150.1061,150.1228,472,118,150.0959,150.1379,731,496,150.0873,150.1517,740,155,150.0756,150.1547,807,1018,150.0647,150.1674,982,942,150.057,150.1758,887,2844,150.0461,150.1857,3002,1856,150.0344,150.195,1869,888,150.0242,150.2053,3414,3234,150.0164,150.2134,4924,4931
2024-01-01 09:30:01.000,SYNTH,150.1015,150.1238,464,65,150.0935,150.1319,171,768,150.0873,150.1418,317,774,150.0742,150.1518,1479,401,150.065,150.1616,2149,1010,150.0542,150.1716,1731,2595,150.0461,150.1799,1680,1788,150.0302,150.1972,2041,518,150.0244,150.2028,2951,3094,150.012,150.213,2038,3219
2024-01-01 09:30:01.100,SYNTH,150.0918,150.1127,213,74,150.0804,150.122,949,643,150.0676,150.1331,446,939,150.0603,150.1428,1697,1624,150.0519,150.1499,1866,1811,150.042,150.1601,453,2713,150.0331,150.1747,2169,2517,150.021,150.1823,2774,543,150.0138,150.1892,3796,2932,150.0032,150.2022,2378,4631
2024-01-01 09:30:01.200,SYNTH,150.1057,150.1266,411,89,150.0909,150.1312,664,673,150.0854,150.1468,538,925,150.0732,150.1584,491,1151,150.0596,150.1601,2228,926,150.0536,150.1737,2452,480,150.0428,150.1833,2757,3087,150.0349,150.1948,1271,1643,150.0251,150.2079,1617,3245,150.018,150.2146,2628,1577
2024-01-01 09:30:01.300,SYNTH,150.1137,150.1339,483,476,150.1041,150.1478,995,802,150.0959,150.1538,465,1106,150.0849,150.1638,644,1151,150.0763,150.1794,590,2452,150.0652,150.1862,609,947,150.0512,150.1954,2619,3258,150.0408,150.2048,2261,1395,150.0294,150.22,3795,2801,150.0299,150.2301,1005,4335
2024-01-01 09:30:01.400,SYNTH,150.1258,150.1482,471,134,150.1155,150.1531,844,977,150.109,150.1636,1088,335,150.0998,150.1731,939,1435,150.0849,150.1838,2349,1865,150.0823,150.1961,2224,702,150.0648,150.2091,616,537,150.0548,150.2154,3327,998,150.0483,150.2298,3296,1100,150.0342,150.2359,4908,2175
2024-01-01 09:30:01.500,SYNTH,150.08,150.1046,455,292,150.0713,150.1121,996,264,150.062,150.1231,1118,930,150.0485,150.1325,1494,509,150.0433,150.1417,376,1387,150.0362,150.1549,1264,1944,150.0216,150.1646,1724,2419,150.0142,150.1738,3861,1247,150.0041,150.1831,1287,2901,149.9964,150.1998,2934,570
2024-01-01 09:30:01.600,SYNTH,150.0743,150.1005,328,81,150.0586,150.1075,406,540,150.056,150.1134,897,826,150.0423,150.1256,1131,347,150.0311,150.1325,2090,1309,150.0258,150.1435,2494,2816,150.0103,150.156,370,2456,150.0083,150.1628,1703,1705,150.0022,150.1723,3570,2792,149.9908,150.184,758,3194
2024-01-01 09:30:01.700,SYNTH,150.0801,150.1017,181,100,150.0668,150.1114,696,711,150.0571,150.1138,298,1496,150.0459,150.1267,1845,696,150.0318,150.1355,2102,1938,150.0293,150.1475,2295,1386,150.0133,150.1562,2543,981,150.0034,150.1649,1084,2559,149.9948,150.1786,3922,2819,149.9864,150.1841,4536,1911
2024-01-01 09:30:01.800,SYNTH,150.0719,150.0958,438,232,150.0619,150.1059,675,413,150.056,150.1149,1335,1469,150.0437,150.1268,626,740,150.0322,150.1302,619,2152,150.0277,150.1416,2695,1859,150.0205,150.1568,956,2089,150.0082,150.1661,2541,3795,149.9899,150.1722,868,2783,149.9817,150.1837,2581,2892
2024-01-01 09:30:01.900,SYNTH,150.0623,150.087,334,260,150.0524,150.0921,465,364,150.0474,150.1073,1233,1426,150.0308,150.1187,1979,1797,150.0311,150.1208,732,2099,150.0141,150.1338,1500,2826,150.0117,150.1472,2347,2969,149.9967,150.1588,551,966,149.9826,150.1672,1123,1302,149.9708,150.1743,1135,1753
2024-01-01 09:30:02.000,SYNTH,150.0576,150.0704,116,65,150.0345,150.082,263,668,150.0313,150.0908,679,848,150.0196,150.0986,1045,1514,150.0109,150.1119,643,539,150.0043,150.1245,1196,2576,149.9955,150.1331,1332,3051,149.982,150.1436,2110,1703,149.9655,150.1507,1396,4178,149.9644,150.1571,1421,1104
2024-01-01 09:30:02.100,SYNTH,150.0604,150.0824,196,290,150.0445,150.09,461,606,150.0365,150.0995,1127,1046,150.02,150.0999,408,1223,150.0151,150.1148,449,1766,150.001,150.1245,1332,2582,149.9935,150.1397,377,642,149.9869,150.1472,2442,2229,149.9806,150.1551,1051,3570,149.9688,150.1671,1728,1761
2024-01-01 09:30:02.200,SYNTH,150.0091,150.0324,153,373,150.0017,150.0433,846,675,149.9914,150.0514,846,748,149.9795,150.0591,1352,1575,149.9719,150.0739,1599,1059,149.9576,150.0824,2653,626,149.9495,150.0924,1184,2297,149.9427,150.1018,1383,1315,149.9262,150.1089,1924,1306,149.9215,150.1238,1062,3165
2024-01-01 09:30:02.300,SYNTH,150.0119,150.029,323,274,150.0018,150.032,753,692,149.9839,150.0473,657,976,149.9832,150.0587,1343,422,149.9697,150.0722,1195,1424,149.9579,150.0755,2180,2146,149.9518,150.0868,966,1164,149.9343,150.1005,3761,3724,149.9269,150.1076,3999,2217,149.9192,150.1202,2704,2882
2024-01-01 09:30:02.400,SYNTH,149.9866,150.009,245,489,149.9812,150.0161,411,494,149.9718,150.0297,487,1045,149.9561,150.037,946,1630,149.9482,150.0535,2319,964,149.9361,150.0584,877,363,149.9319,150.0679,3303,2866,149.9173,150.0712,2957,1872,149.911,150.0913,4182,1806,149.9028,150.0974,3120,4094
2024-01-01 09:30:02.500,SYNTH,149.9674,149.9914,189,251,149.9669,150.0013,283,619,149.9463,150.0027,863,548,149.9413,150.0204,971,456,149.9294,150.0326,811,980,149.9179,150.0374,2538,2529,149.913,150.0505,508,784,149.9024,150.0548,3839,2794,149.8892,150.0701,4492,3104,149.8825,150.0794,2221,2258
2024-01-01 09:30:02.600,SYNTH,149.9736,149.99,379,409,149.9625,150.0032,145,925,149.954,150.0125,410,1496,149.9419,150.0266,1967,1280,149.9407,150.0387,1547,2372,149.9254,150.042,2113,786,149.9153,150.0528,2210,2107,149.9018,150.0591,949,2438,149.8925,150.07,2120,1394,149.885,150.0822,2184,509
2024-01-01 09:30:02.700,SYNTH,149.9647,149.9938,402,401,149.9587,149.9914,581,897,149.9442,150.0065,448,738,149.9358,150.0233,899,1351,149.9246,150.0283,1850,2082,149.9179,150.0328,2515,362,149.9035,150.052,640,1089,149.8979,150.0596,2220,1181,149.8864,150.0645,3287,1202,149.8783,150.0763,3590,4636
2024-01-01 09:30:02.800,SYNTH,149.9863,150.0083,495,233,149.9766,150.019,616,859,149.9677,150.0272,1145,538,149.9589,150.0366,517,1943,149.9478,150.0459,1611,2144,149.9387,150.0493,1274,1115,149.9255,150.0673,2486,1901,149.9199,150.0805,1480,1383,149.907,150.0914,2701,4387,149.9012,150.098,2194,1302
2024-01-01 09:30:02.900,SYNTH,149.9892,150.014,484,286,149.9811,150.0249,419,612,149.9716,150.0333,748,919,149.965,150.0414,1881,697,149.9519,150.0519,1407,1978,149.9409,150.0593,1206,794,149.9302,150.0685,1465,1522,149.9268,150.0859,3635,1741,149.9158,150.0974,983,4166,149.9031,150.1025,1146,3562
2024-01-01 09:30:03.000,SYNTH,149.9902,150.0083,77,473,149.9791,150.0197,632,760,149.967,150.026,1117,215,149.9576,150.0344,963,733,149.9498,150.047,2280,2333,149.9379,150.0581,2329,2932,149.9224,150.0693,2939,2466,149.9166,150.0786,3238,1020,149.9066,150.0852,1021,2158,149.8959,150.0992,781,3404
2024-01-01 09:30:03.100,SYNTH,150.0001,150.0221,409,226,149.9853,150.0303,543,774,149.9813,150.0447,1150,633,149.9677,150.0455,1886,1260,149.9612,150.0653,1810,1226,149.9487,150.0727,1840,2172,149.94,150.0793,3474,2206,149.9343,150.0894,652,2200,149.9247,150.1014,4241,4240,149.9153,150.1022,2892,2412
2024-01-01 09:30:03.200,SYNTH,149.9914,150.0112,133,290,149.98,150.0207,438,328,149.9679,150.0314,380,600,149.9596,150.04,859,1691,149.95,150.0512,1362,1568,149.9437,150.0523,2506,1147,149.9361,150.0782,2116,2719,149.9201,150.0833,937,1550,149.9093,150.098,4074,2089,149.8964,150.105,2154,2497
2024-01-01 09:30:03.300,SYNTH,150.0007,150.0186,61,61,149.9861,150.0226,599,119,149.9768,150.0402,913,652,149.9662,150.0437,1842,1163,149.9617,150.0601,2249,1181,149.951,150.0722,2032,733,149.9347,150.0788,2115,2818,149.9282,150.0859,3921,566,149.9163,150.1002,4234,3071,149.9102,150.1094,637,4777
2024-01-01 09:30:03.400,SYNTH,150.0423,150.0681,55,172,150.0338,150.0768,257,370,150.0271,150.0857,192,1353,150.0169,150.0923,656,614,149.997,150.1068,403,1115,149.9908,150.1202,1956,1489,149.9857,150.1262,3003,1077,149.9788,150.1327,2916,3680,149.9665,150.141,1089,2932,149.9572,150.1563,3714,4099
2024-01-01 09:30:03.500,SYNTH,150.0424,150.0629,322,353,150.0368,150.0789,404,352,150.0208,150.0809,1458,301,150.0143,150.0929,502,845,149.9988,150.1029,363,1555,149.9926,150.1166,2165,494,149.9808,150.1255,1509,2237,149.9765,150.1345,545,3581,149.9603,150.1446,2467,2697,149.955,150.1505,3757,2326
2024-01-01 09:30:03.600,SYNTH,150.0492,150.0656,454,386,150.0406,150.0816,304,534,150.0309,150.0868,582,712,150.0256,150.0975,1017,1840,150.0107,150.1137,2200,1724,150.0013,150.12,831,2122,149.9897,150.1285,2847,2556,149.9749,150.1352,3150,3621,149.9715,150.151,4377,1217,149.9625,150.1524,530,3853
2024-01-01 09:30:03.700,SYNTH,150.0712,150.0938,193,268,150.0622,150.1006,969,224,150.0548,150.1083,256,611,150.0433,150.1246,881,516,150.0289,150.1304,1762,1835,150.0264,150.141,936,1169,150.0104,150.15,559,1804,150.0036,150.1633,2837,1213,149.9848,150.1719,1970,2506,149.9812,150.1797,1948,4460
2024-01-01 09:30:03.800,SYNTH,150.0775,150.1007,61,185,150.07,150.1121,320,793,150.0545,150.1157,526,758,150.0508,150.1271,1079,1453,150.0328,150.1402,2414,698,150.0297,150.1479,2372,832,150.0137,150.1616,3133,2968,150.0038,150.1651,2065,3187,150.0021,150.1813,1407,4073,149.989,150.1906,3816,1205
2024-01-01 09:30:03.900,SYNTH,150.0812,150.0977,492,137,150.0673,150.1036,788,524,150.0599,150.1168,723,430,150.054,150.1285,358,385,150.0404,150.1388,2376,431,150.0275,150.1507,2219,1679,150.0178,150.1566,974,3020,150.0034,150.1706,2914,3249,149.9963,150.1799,2234,3443,149.9912,150.1901,4562,1717
